Company,Model,Mileage,Dealer_Name,Rating,Review Count,Price ($),Car_id,Date,Customer Name,Gender,Annual Income,Color,Dealer_No ,Body Style,Phone,Dealer_Region
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,ILX Base,12604.0,Johnson City Mazda,,1.0,30636.25,,,,,,,,,,
Acura,Integra,,Buddy Storbeck's Diesel Service Inc,,,45000.0,C_CND_014405,6/4/2023,Azaan,Male,793437.5,Black,06457-3834,Passenger,8843931.0,Middletown
Acura,Integra,,Buddy Storbeck's Diesel Service Inc,,,45001.0,C_CND_008985,11/30/2022,Zahra,Male,793437.5,Black,06457-3834,Passenger,6820737.0,Middletown
Acura,Integra,,C & M Motors Inc,,,45001.0,C_CND_018101,9/11/2023,Marie,Male,793437.5,Black,60504-7114,Passenger,6370945.0,Aurora
Acura,Integra,,Capitol KIA,,,45000.0,C_CND_000873,3/12/2022,Audrey,Male,793437.5,Black,38701-8047,Passenger,7636264.0,Greenville
Acura,Integra,,Chrysler Plymouth,,,45000.0,C_CND_018887,9/25/2023,Amir,Female,793437.5,Black,53546-9427,Passenger,8191579.0,Janesville
Acura,Integra,,Chrysler Plymouth,,,45001.0,C_CND_019755,10/21/2023,Laura,Female,793437.5,Black,53546-9427,Passenger,7786630.0,Janesville
Acura,Integra,,Chrysler of Tri-Cities,,,45001.0,C_CND_011000,1/23/2023,Leo,Male,793437.5,Black,99301-3882,Passenger,6676126.0,Janesville
Acura,Integra,,Classic Chevy,,,45000.0,C_CND_015569,7/7/2023,Malka,Male,1010000.0,Black,85257-3102,Passenger,7455395.0,Scottsdale
Acura,Integra,,Clay Johnson Auto Sales,,,45000.0,C_CND_001815,4/18/2022,Rayyan,Male,1450000.0,Black,78758-7841,Passenger,8584943.0,Austin
Acura,Integra,,Enterprise Rent A Car,,,45000.0,C_CND_020049,10/28/2023,Valentin,Male,793437.5,Black,60504-7114,Passenger,7603858.0,Austin
Acura,Integra,,Enterprise Rent A Car,,,45501.0,C_CND_011517,2/27/2023,Wendy,Male,1625000.0,Black,60504-7114,Passenger,8416377.0,Aurora
Acura,Integra,,Gartner Buick Hyundai Saab,,,45000.0,C_CND_005041,8/28/2022,Emily,Male,793437.5,Black,38701-8047,Passenger,6658795.0,Scottsdale
Acura,Integra,,Gartner Buick Hyundai Saab,,,45000.0,C_CND_005987,9/20/2022,Gustavo,Female,810000.0,Black,38701-8047,Passenger,7953054.0,Greenville
Acura,Integra,,Gartner Buick Hyundai Saab,,,45000.0,C_CND_010100,12/19/2022,Travis,Male,793437.5,Black,38701-8047,Passenger,7023559.0,Aurora
Acura,Integra,,Gartner Buick Hyundai Saab,,,45501.0,C_CND_014097,5/26/2023,Raphael,Female,793437.5,Black,38701-8047,Passenger,7853309.0,Janesville
Acura,Integra,,Hatfield Volkswagen,,,45001.0,C_CND_009200,12/4/2022,Ariel,Male,793437.5,Black,99301-3882,Passenger,7474770.0,Pasco
Acura,Integra,,Iceberg Rentals,,,45000.0,C_CND_006442,9/26/2022,Summer,Male,793437.5,Black,53546-9427,Passenger,6633578.0,Middletown
